Auditing 66 saved routes (tolerance: +/-1.0 mi)...

STATUS      | STORED | MAPS   | DELTA  | ROUTE
------------+--------+--------+--------+-----------------------------------------------
OK          |   26.0 |   25.3 |    0.7 | Office -> Music Magpie
OK          |   26.0 |   25.3 |    0.7 | Music Magpie -> Office
MISMATCH    |   41.0 |   39.8 |    1.2 | Home -> Music Magpie
OK          |    7.1 |    6.6 |    0.5 | Office -> Footasylum Bury
MISMATCH    |   15.0 |    8.0 |    7.0 | FootAsylum Liverpool One -> Home
MISMATCH    |   30.0 |   36.4 |    6.4 | Office -> FootAsylum Liverpool One
MISMATCH    |   30.0 |   36.4 |    6.4 | FootAsylum Liverpool One -> Office
MISMATCH    |   15.0 |    8.0 |    7.0 | Home -> FootAsylum Liverpool One
MISMATCH    |   30.0 |   31.9 |    1.9 | Home -> Office
MISMATCH    |   30.0 |   31.9 |    1.9 | Office -> Home
MISMATCH    |   40.0 |   43.5 |    3.5 | Music Magpie -> FootAsylum Liverpool One
MISMATCH    |   40.0 |   43.5 |    3.5 | FootAsylum Liverpool One -> Music Magpie
MISMATCH    |   12.0 |   17.8 |    5.8 | Office -> TFS Rochdale
OK          |   40.0 |   39.5 |    0.5 | TFS Rochdale -> Home
OK          |   67.0 |   67.0 |    0.0 | Home -> FootAsylum Leeds
OK          |    4.7 |    3.7 |    1.0 | Footasylum Leeds Trinity -> Footasylum Leeds
MISMATCH    |   72.0 |   68.4 |    3.6 | Home -> Footasylum Leeds Trinity
MISMATCH    |   28.0 |   32.0 |    4.0 | Home -> Daily Spaces Trailberg Party
MISMATCH    |   27.0 |   17.4 |    9.6 | Office -> Point 62
OK          |   39.0 |   38.8 |    0.2 | Point 62 -> Home
OK          |   87.3 |   86.8 |    0.5 | Home -> Footasylum Derby
MISMATCH    |  168.0 |  163.5 |    4.5 | Home -> Footasylum Sunderland
MISMATCH    |   17.6 |   14.1 |    3.5 | Footasylum Sunderland -> Footasylum Newcastle
MISMATCH    |   10.0 |   11.3 |    1.3 | Home -> Footasylum Speke
MISMATCH    |   16.0 |   11.6 |    4.4 | Footasylum Doncaster -> Footasylum Rotherham
MISMATCH    |   16.0 |   11.6 |    4.4 | Footasylum Doncaster -> Footasylum Rotherham
MISMATCH    |   16.0 |   11.6 |    4.4 | Footasylum Doncaster -> Footasylum Rotherham
MISMATCH    |   16.0 |   11.6 |    4.4 | Footasylum Doncaster -> Footasylum Rotherham
OK          |    4.1 |    4.9 |    0.8 | Footasylum Rotherham -> Footasylum Meadowhall
MISMATCH    |   94.0 |   76.8 |   17.2 | Footasylum Meadowhall -> Home
MISMATCH    |   93.0 |   95.1 |    2.1 | Home -> Footasylum Doncaster
MISMATCH    |   18.0 |   16.5 |    1.5 | Footasylum Sunderland -> Footasylum Newcastle Metro
MISMATCH    |  142.0 |  138.0 |    4.0 | Footasylum Middlesbrough -> Home
OK          |    7.1 |    6.6 |    0.5 | Office -> Footasylum Bury
OK          |    6.0 |    5.0 |    1.0 | Footasylum Newcastle Metro -> Footasylum Newcastle
OK          |   40.0 |   39.9 |    0.1 | Footasylum Newcastle -> Footasylum Middlesbrough
MISMATCH    |   13.0 |   14.8 |    1.8 | Office -> Footasylum Manchester Arndale
MISMATCH    |   46.0 |   27.6 |   18.4 | Home -> TFS Chester
OK          |    8.7 |    8.4 |    0.3 | Footasylum Broughton -> TFS Chester
MISMATCH    |   16.0 |    9.7 |    6.3 | Footasylum Bury -> Footasylum Denton
MISMATCH    |   38.0 |   33.5 |    4.5 | Footasylum Broughton -> Home
